【正解】: 1 | 【予測】: 4 (3.942133) | OOV: 0/12 | 【本文】: It does not work. I have tried it a number of times.
【正解】: 4 | 【予測】: 4 (3.786255) | OOV: 0/2 | 【本文】: Good Product!
【正解】: 1 | 【予測】: 3 (3.4818213) | OOV: 0/14 | 【本文】: Stops working on page 3 EVERY TIME. At least on my Kindle Fire HD.
【正解】: 5 | 【予測】: 4 (3.6763783) | OOV: 0/11 | 【本文】: Fast response, large quantity of technical words, and details of sources.
【正解】: 5 | 【予測】: 4 (3.6070457) | OOV: 0/2 | 【本文】: Great channel
【正解】: 4 | 【予測】: 4 (3.6440995) | OOV: 0/1 | 【本文】: Happy
【正解】: 5 | 【予測】: 4 (3.8034022) | OOV: 0/3 | 【本文】: Very good product
【正解】: 5 | 【予測】: 4 (4.0756416) | OOV: 0/2 | 【本文】: Very good
【正解】: 5 | 【予測】: 4 (3.8543434) | OOV: 0/2 | 【本文】: Very helpful.
【正解】: 4 | 【予測】: 4 (3.5030553) | OOV: 0/8 | 【本文】: It works great on a Kindle Fire tablet.
【正解】: 5 | 【予測】: 4 (3.593408) | OOV: 0/1 | 【本文】: movies
【正解】: 5 | 【予測】: 4 (3.5724618) | OOV: 0/3 | 【本文】: great for taxes
【正解】: 5 | 【予測】: 4 (3.8303986) | OOV: 0/2 | 【本文】: Real information.
【正解】: 1 | 【予測】: 4 (4.035801) | OOV: 0/5 | 【本文】: Too difficult to figure out.
【正解】: 5 | 【予測】: 4 (3.8160686) | OOV: 0/7 | 【本文】: Very effective on my android. Quick, effective.
【正解】: 1 | 【予測】: 4 (3.9008212) | OOV: 0/7 | 【本文】: Quit watching the news on election night.
【正解】: 4 | 【予測】: 4 (3.9022915) | OOV: 0/5 | 【本文】: Wish it was multi player
【正解】: 5 | 【予測】: 4 (3.5920613) | OOV: 0/1 | 【本文】: Decent
【正解】: 3 | 【予測】: 4 (4.1614366) | OOV: 0/2 | 【本文】: Fun game
【正解】: 3 | 【予測】: 4 (3.7594025) | OOV: 0/3 | 【本文】: Game is ok
【正解】: 1 | 【予測】: 4 (4.112495) | OOV: 0/4 | 【本文】: No use for it
【正解】: 5 | 【予測】: 4 (3.950554) | OOV: 0/7 | 【本文】: Just installed this works great so far
【正解】: 4 | 【予測】: 4 (3.9022288) | OOV: 0/7 | 【本文】: Had some connection issues and voice issues
【正解】: 5 | 【予測】: 4 (4.013012) | OOV: 0/8 | 【本文】: Love the app listen to it every day
【正解】: 5 | 【予測】: 4 (4.098873) | OOV: 0/2 | 【本文】: LOVE IT
【正解】: 1 | 【予測】: 4 (3.94406) | OOV: 0/37 | 【本文】: Hated! Did one picture and never used it again! These apps should have the price listed before your get it and get a monthly bill for something you deleted after one try! That is a rip off!
【正解】: 2 | 【予測】: 4 (3.9297154) | OOV: 0/4 | 【本文】: Nothing like Design Home!
【正解】: 5 | 【予測】: 4 (3.720118) | OOV: 0/18 | 【本文】: I like it very much, it is the most difficult word search I have ever done. Very challenging!
【正解】: 1 | 【予測】: 4 (3.8083522) | OOV: 0/8 | 【本文】: I do not recall what this product was.
【正解】: 5 | 【予測】: 3 (3.337327) | OOV: 0/3 | 【本文】: Works as advertised
【正解】: 1 | 【予測】: 4 (3.5477312) | OOV: 0/15 | 【本文】: Every time I try to open it I get a message. Sorry Ebay app closed.
【正解】: 5 | 【予測】: 4 (3.9497902) | OOV: 0/7 | 【本文】: I have had no problems so far.
【正解】: 5 | 【予測】: 4 (3.7214153) | OOV: 0/1 | 【本文】: Love
【正解】: 5 | 【予測】: 3 (3.2821314) | OOV: 0/1 | 【本文】: nine
【正解】: 5 | 【予測】: 4 (4.071216) | OOV: 0/2 | 【本文】: For fun
【正解】: 5 | 【予測】: 4 (4.05673) | OOV: 0/3 | 【本文】: Liked it all
【正解】: 5 | 【予測】: 4 (4.082715) | OOV: 0/5 | 【本文】: For the most part fun
【正解】: 5 | 【予測】: 4 (4.0491076) | OOV: 0/5 | 【本文】: Great game, love to play
【正解】: 5 | 【予測】: 4 (4.091922) | OOV: 0/15 | 【本文】: Very fun game, I was stuck on the one level but I finally beat it
【正解】: 5 | 【予測】: 4 (3.8016832) | OOV: 0/21 | 【本文】: This is a very fun game, sometimes a little hard, but I like match 3 games, would recommend to any body
【正解】: 5 | 【予測】: 4 (3.9934053) | OOV: 0/20 | 【本文】: Loved this game! Some times a little hard, but that made it more fun. Would like to see another one.
【正解】: 1 | 【予測】: 3 (3.3568416) | OOV: 0/24 | 【本文】: Never even able to play the game. Tablet had it keep force closing. do not buy. horrible. kept trying to show me a advertisement.
【正解】: 2 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 5 | 【予測】: 4 (3.8445868) | OOV: 0/28 | 【本文】: I have had hours of entertainment from this game. I like how as the shark grows larger it can eat more dangerous creatures and travel to different places.
【正解】: 5 | 【予測】: 4 (3.9965086) | OOV: 0/8 | 【本文】: Pleasant music, good brain exercise. Not too hard.
【正解】: 5 | 【予測】: 4 (3.6874688) | OOV: 0/2 | 【本文】: Somewhat challenging
【正解】: 5 | 【予測】: 4 (3.980769) | OOV: 0/6 | 【本文】: Hope it continues to hit big
【正解】: 5 | 【予測】: 4 (3.6500878) | OOV: 0/6 | 【本文】: Gets the good data others ignore
【正解】: 4 | 【予測】: 4 (3.638715) | OOV: 0/7 | 【本文】: Fun to play, good bonus spin reward.
【正解】: 1 | 【予測】: 4 (3.9985473) | OOV: 0/15 | 【本文】: I wanted paint by numbers. Not what this doses I will never use this one.
【正解】: 5 | 【予測】: 4 (4.15602) | OOV: 0/2 | 【本文】: Great Game.
【正解】: 5 | 【予測】: 4 (3.8445635) | OOV: 0/2 | 【本文】: Lots of!
【正解】: 5 | 【予測】: 4 (4.0826044) | OOV: 0/3 | 【本文】: Lots of fun.
【正解】: 1 | 【予測】: 4 (4.1745872) | OOV: 0/5 | 【本文】: Did not enjoy this game
【正解】: 5 | 【予測】: 4 (4.075966) | OOV: 0/2 | 【本文】: Great fun
【正解】: 5 | 【予測】: 4 (4.116335) | OOV: 0/9 | 【本文】: I have used turbo tax for years love it.
【正解】: 5 | 【予測】: 4 (3.6044884) | OOV: 0/3 | 【本文】: Love YouTube channel
【正解】: 5 | 【予測】: 4 (3.9431815) | OOV: 0/3 | 【本文】: Easy to use.
【正解】: 4 | 【予測】: 4 (3.8955607) | OOV: 0/6 | 【本文】: Gets the job done every year.
【正解】: 1 | 【予測】: 4 (3.9478564) | OOV: 0/12 | 【本文】: Did not work. Had to sign up to existing account. Not free
【正解】: 1 | 【予測】: 3 (3.377277) | OOV: 0/1 | 【本文】: Boring
【正解】: 5 | 【予測】: 4 (3.596854) | OOV: 0/1 | 【本文】: Awesome
【正解】: 5 | 【予測】: 4 (3.8612604) | OOV: 0/3 | 【本文】: Love the app
【正解】: 5 | 【予測】: 4 (3.788959) | OOV: 0/11 | 【本文】: I like that it has a variety if kid friendly shows.
【正解】: 5 | 【予測】: 4 (3.5451505) | OOV: 0/87 | 【本文】: Love, love, this app and this service. The price can not be beat for the amount and kind of channels you get. The app is easy to use, getting started and setup is easy to use and I absolutely LOVE that a password is not used to sign in. They send you a one time code to login. Maybe an issue if the persons email address is not accessible but I think the pros or weigh the cons in terms of using the code versus a password.
【正解】: 5 | 【予測】: 4 (3.8770244) | OOV: 0/2 | 【本文】: So Awesome!!!!
【正解】: 2 | 【予測】: 4 (4.0420084) | OOV: 0/34 | 【本文】: I was excited to try this as I do like this old style graphics and gameplay, but the graphics were really bad for a 7 inch tablet and could not play it at all.
【正解】: 2 | 【予測】: 4 (4.0834813) | OOV: 0/22 | 【本文】: It got very hot and ultimately quit working within the first week! When it did work it worked well. I returned it.
【正解】: 4 | 【予測】: 4 (3.8027816) | OOV: 0/1 | 【本文】: Fun
【正解】: 2 | 【予測】: 4 (3.642247) | OOV: 0/12 | 【本文】: I like the I phone one much better. This one needs improved.
【正解】: 5 | 【予測】: 4 (3.7350733) | OOV: 0/2 | 【本文】: HD pictures
【正解】: 5 | 【予測】: 4 (3.868111) | OOV: 0/3 | 【本文】: Love this app!
【正解】: 5 | 【予測】: 4 (4.098873) | OOV: 0/2 | 【本文】: Love it
【正解】: 5 | 【予測】: 4 (3.850713) | OOV: 0/2 | 【本文】: Great app!
【正解】: 5 | 【予測】: 4 (4.014304) | OOV: 0/31 | 【本文】: This was one of the main reasons I ordered a Kindle Fire, to watch Netflix. It downloaded quick and I have watched several things on it already and it works great!
【正解】: 5 | 【予測】: 4 (3.8596864) | OOV: 0/3 | 【本文】: Best free app
【正解】: 5 | 【予測】: 4 (4.116335) | OOV: 0/3 | 【本文】: I love it
【正解】: 5 | 【予測】: 4 (4.15602) | OOV: 0/2 | 【本文】: Great game
【正解】: 3 | 【予測】: 4 (3.6540573) | OOV: 0/14 | 【本文】: Large print was nice and easy to find the words because of the print.
【正解】: 5 | 【予測】: 4 (3.777707) | OOV: 0/2 | 【本文】: Nice product
【正解】: 1 | 【予測】: 3 (3.4443605) | OOV: 0/2 | 【本文】: Never ordered
【正解】: 1 | 【予測】: 3 (3.4443605) | OOV: 0/2 | 【本文】: Never ordered
【正解】: 4 | 【予測】: 4 (3.7358248) | OOV: 0/1 | 【本文】: Great
【正解】: 3 | 【予測】: 4 (3.8837285) | OOV: 0/5 | 【本文】: Its kinda different i guess
【正解】: 1 | 【予測】: 4 (4.0402317) | OOV: 0/7 | 【本文】: Where are these things supposed to be?
【正解】: 1 | 【予測】: 4 (4.1067076) | OOV: 0/4 | 【本文】: Never heard of it
【正解】: 1 | 【予測】: 4 (4.1067076) | OOV: 0/4 | 【本文】: Never heard of it
【正解】: 5 | 【予測】: 4 (3.9428852) | OOV: 0/11 | 【本文】: I am surprised at how good it is, and for free!!
【正解】: 5 | 【予測】: 4 (4.0232887) | OOV: 0/21 | 【本文】: I love how easy it was to download and register. The instructions were very easy to understand. These guys are great!
【正解】: 5 | 【予測】: 4 (3.6467721) | OOV: 0/13 | 【本文】: Spotify is excellent I love it it deserves even more than 5 stars.
【正解】: 5 | 【予測】: 4 (4.098873) | OOV: 0/2 | 【本文】: Love it
【正解】: 1 | 【予測】: 3 (3.3872356) | OOV: 0/4 | 【本文】: It is a calculator....
【正解】: 4 | 【予測】: 4 (3.8672643) | OOV: 0/22 | 【本文】: This one seems to allow more play time by making the rewards easier. I like better than the other one I tried!
【正解】: 4 | 【予測】: 4 (3.9883754) | OOV: 0/26 | 【本文】: Like this game so far. I wish the pictures were a little bigger though. But it gives us a chance to play and help each other.
【正解】: 5 | 【予測】: 4 (3.8607156) | OOV: 0/5 | 【本文】: I like the updated movies
【正解】: 5 | 【予測】: 4 (4.0490775) | OOV: 0/5 | 【本文】: Fun game. Easy to play.
【正解】: 5 | 【予測】: 4 (4.0826044) | OOV: 0/3 | 【本文】: Lots of fun!
【正解】: 5 | 【予測】: 4 (4.056772) | OOV: 0/25 | 【本文】: Easy to win, cute, passes the time. Singing bees at every level cute for awhile but not necessarily if you are playing a long time.
【正解】: 5 | 【予測】: 4 (3.892178) | OOV: 0/9 | 【本文】: Cute game, easy to level up. Tasks complete quickly.
【正解】: 5 | 【予測】: 4 (3.9376898) | OOV: 0/14 | 【本文】: Being a criminal justice major, there is plenty of content to keep be happy
【正解】: 5 | 【予測】: 4 (3.8400323) | OOV: 0/30 | 【本文】: If you like slots at the the Casinos, this is a great game to play. Lots of realistic slots, and chances to win. Daily reward for friends and visiting daily.
【正解】: 5 | 【予測】: 4 (4.060931) | OOV: 0/2 | 【本文】: Works good
【正解】: 5 | 【予測】: 4 (4.098873) | OOV: 0/2 | 【本文】: Love it!
【正解】: 5 | 【予測】: 4 (4.098873) | OOV: 0/2 | 【本文】: Love it!
【正解】: 5 | 【予測】: 4 (4.1300163) | OOV: 0/4 | 【本文】: Accurate information for me
【正解】: 5 | 【予測】: 4 (4.15602) | OOV: 0/2 | 【本文】: Great game!
【正解】: 1 | 【予測】: 4 (3.8671727) | OOV: 0/48 | 【本文】: Did not like these games. I got this app because of the ad on Wheel of Fortune. After I downloaded the app, I failed to find any Wheel of Fortune game. The games I was forced to play never even hit anything. I will be removing this app.
【正解】: 2 | 【予測】: 4 (3.6460116) | OOV: 0/19 | 【本文】: I never could get the app to work properly. I have still been unable to access my health profile.
【正解】: 5 | 【予測】: 4 (3.8489125) | OOV: 0/6 | 【本文】: Easy, quick way to get books.
【正解】: 1 | 【予測】: 4 (3.7806644) | OOV: 0/26 | 【本文】: The app will not take my password for my account. I have tried changing my password and it still says invalid username or password?? Any suggestions?
【正解】: 5 | 【予測】: 4 (3.9368653) | OOV: 0/5 | 【本文】: Easy to install and use.
【正解】: 5 | 【予測】: 4 (3.786255) | OOV: 0/2 | 【本文】: Good product
【正解】: 1 | 【予測】: 4 (3.9064357) | OOV: 0/7 | 【本文】: Very rarely is there anything to watch
【正解】: 5 | 【予測】: 4 (4.0756416) | OOV: 0/2 | 【本文】: very good
【正解】: 3 | 【予測】: 4 (3.8876626) | OOV: 0/36 | 【本文】: Was okay but nothing to amazing. It would not sync the audio with the visual quite often as well as just mess up the resolution completely and would have to restart the movie I was watching.
【正解】: 5 | 【予測】: 4 (3.7928672) | OOV: 0/10 | 【本文】: I love having all my music on my fire tv
【正解】: 5 | 【予測】: 4 (4.116335) | OOV: 0/3 | 【本文】: I love it..
【正解】: 1 | 【予測】: 3 (3.3355498) | OOV: 0/4 | 【本文】: Not what was advertised!
【正解】: 5 | 【予測】: 4 (3.7208073) | OOV: 0/26 | 【本文】: I played older versions of this game on my phone ....by far this version on my fire not only looks great but is also more challenging!
【正解】: 1 | 【予測】: 4 (4.0344696) | OOV: 0/29 | 【本文】: This app sucks! No help section and zero instruction on how it works! Wasted dollar! I still need a password vault so I hope the next one is better.
【正解】: 5 | 【予測】: 4 (4.146616) | OOV: 0/2 | 【本文】: awesome game!
【正解】: 5 | 【予測】: 4 (4.146616) | OOV: 0/2 | 【本文】: Awesome game
【正解】: 4 | 【予測】: 4 (4.178878) | OOV: 0/4 | 【本文】: Challenging and fun game
【正解】: 5 | 【予測】: 4 (3.844663) | OOV: 0/20 | 【本文】: The game is really fun I like how you earn new things to cook with and go to different places
【正解】: 1 | 【予測】: 4 (4.0621214) | OOV: 0/32 | 【本文】: Would give it more stars if it were available for Fire TV. Turns out only works on cell phones and fire tablet, have no desire to watch tv on either of those.
【正解】: 5 | 【予測】: 4 (3.8620248) | OOV: 0/9 | 【本文】: We love the live TV feature on the app!
【正解】: 5 | 【予測】: 4 (4.097031) | OOV: 0/26 | 【本文】: This is a great educational app for children. If you have small children I would recommend this app for them. My 7 year old loves it!
【正解】: 5 | 【予測】: 4 (4.097031) | OOV: 0/26 | 【本文】: This is a great educational app for children. If you have small children I would recommend this app for them. My 7 year old loves it!
【正解】: 5 | 【予測】: 4 (4.097031) | OOV: 0/26 | 【本文】: This is a fun educational app for children. If you have small children I would recommend this app for them. My 7 year old loves it!
【正解】: 4 | 【予測】: 4 (4.097031) | OOV: 0/25 | 【本文】: This is a fun app for children. If you have small children I would recommend this app for them. My 7 year old loves it!
【正解】: 5 | 【予測】: 4 (4.1522074) | OOV: 0/20 | 【本文】: This is a great educational app for children. If you have small children I would recommend this app for them.
【正解】: 5 | 【予測】: 3 (3.4107535) | OOV: 0/20 | 【本文】: This is a good fun bingo game. I would recommend this bingo game to anyone who likes to play bingo.
【正解】: 3 | 【予測】: 4 (3.532602) | OOV: 0/2 | 【本文】: Very confusing
【正解】: 4 | 【予測】: 4 (3.5508535) | OOV: 0/1 | 【本文】: Thanks
【正解】: 5 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 5 | 【予測】: 4 (4.0146513) | OOV: 0/6 | 【本文】: Perfect thanks Amazon for offering this.
【正解】: 5 | 【予測】: 4 (3.7691922) | OOV: 0/2 | 【本文】: Wonderful program
【正解】: 5 | 【予測】: 4 (3.8582926) | OOV: 0/3 | 【本文】: Great music app
【正解】: 4 | 【予測】: 3 (3.398355) | OOV: 0/10 | 【本文】: I like it, so easy to install on my Kindle.
【正解】: 5 | 【予測】: 4 (4.1792946) | OOV: 0/6 | 【本文】: This is such a fun game!
【正解】: 5 | 【予測】: 4 (4.12829) | OOV: 0/12 | 【本文】: This is such a great bingo game!!!! Fantastic prizes and fun games.
【正解】: 5 | 【予測】: 4 (3.8763967) | OOV: 0/8 | 【本文】: Fun game gets more challenging with each level.
【正解】: 1 | 【予測】: 4 (3.8632689) | OOV: 0/7 | 【本文】: Not great but its free. Really short
【正解】: 5 | 【予測】: 4 (3.7209203) | OOV: 0/4 | 【本文】: Fun game Very challenging.
【正解】: 5 | 【予測】: 4 (4.173278) | OOV: 0/3 | 【本文】: Love this game!
【正解】: 5 | 【予測】: 4 (4.141643) | OOV: 0/2 | 【本文】: Okay game
【正解】: 5 | 【予測】: 4 (3.7358248) | OOV: 0/1 | 【本文】: Great!
【正解】: 5 | 【予測】: 3 (3.4352639) | OOV: 0/2 | 【本文】: Love ebay!
【正解】: 3 | 【予測】: 4 (3.5143845) | OOV: 0/1 | 【本文】: okay
【正解】: 5 | 【予測】: 4 (3.7358248) | OOV: 0/1 | 【本文】: great
【正解】: 5 | 【予測】: 4 (3.7358248) | OOV: 0/1 | 【本文】: GREAT!!!!!
【正解】: 5 | 【予測】: 4 (4.116335) | OOV: 0/3 | 【本文】: I love it!!!
【正解】: 5 | 【予測】: 4 (3.553277) | OOV: 0/1 | 【本文】: loved
【正解】: 5 | 【予測】: 4 (3.7481425) | OOV: 0/5 | 【本文】: I played this twice enjoyed
【正解】: 5 | 【予測】: 4 (4.15602) | OOV: 0/2 | 【本文】: Great game!
【正解】: 5 | 【予測】: 4 (4.105381) | OOV: 0/2 | 【本文】: Great games!
【正解】: 5 | 【予測】: 4 (3.8977659) | OOV: 0/7 | 【本文】: Great game keeps me entertain for hours
【正解】: 3 | 【予測】: 4 (3.5143845) | OOV: 0/1 | 【本文】: Okay
【正解】: 5 | 【予測】: 4 (3.7358248) | OOV: 0/1 | 【本文】: Great
【正解】: 5 | 【予測】: 4 (3.7358248) | OOV: 0/1 | 【本文】: Great
【正解】: 5 | 【予測】: 4 (3.7358248) | OOV: 0/1 | 【本文】: Great
【正解】: 5 | 【予測】: 4 (3.6752243) | OOV: 0/1 | 【本文】: Nice
【正解】: 5 | 【予測】: 4 (3.7358248) | OOV: 0/1 | 【本文】: Great
【正解】: 5 | 【予測】: 4 (3.7583785) | OOV: 0/6 | 【本文】: Works great. Keeps me on track
【正解】: 5 | 【予測】: 4 (4.1627426) | OOV: 0/9 | 【本文】: Nice game for kids to play. Great learning game
【正解】: 5 | 【予測】: 4 (4.0482616) | OOV: 0/3 | 【本文】: Fun to play
【正解】: 5 | 【予測】: 3 (3.4119265) | OOV: 0/4 | 【本文】: Love this game. Addicted
【正解】: 5 | 【予測】: 4 (4.1173925) | OOV: 0/7 | 【本文】: Great commercial free radio. I love it.
【正解】: 1 | 【予測】: 4 (4.029422) | OOV: 0/9 | 【本文】: The ad looked good, but the game was not.
【正解】: 5 | 【予測】: 4 (3.9431815) | OOV: 0/3 | 【本文】: Easy to use
【正解】: 5 | 【予測】: 4 (3.82565) | OOV: 0/3 | 【本文】: Very entertaining site
【正解】: 1 | 【予測】: 4 (3.9704669) | OOV: 0/21 | 【本文】: Tried to set up my account &amp; log in but something strange keeps happening &amp; keeps asking me to try again.
【正解】: 5 | 【予測】: 4 (3.8304863) | OOV: 0/5 | 【本文】: Great time wasting relaxation app!
【正解】: 4 | 【予測】: 4 (4.0826044) | OOV: 0/3 | 【本文】: Lots of fun!
【正解】: 5 | 【予測】: 4 (3.5987196) | OOV: 0/4 | 【本文】: Awesome game!!! Great pace!
【正解】: 4 | 【予測】: 4 (4.048982) | OOV: 0/5 | 【本文】: It was easy to play.
【正解】: 5 | 【予測】: 4 (3.8630784) | OOV: 0/28 | 【本文】: Husband has enjoyed using this and says it is so easy to navigate. He enjoys reading so much and this helps him in picking out what to read.
【正解】: 5 | 【予測】: 4 (4.0988245) | OOV: 0/22 | 【本文】: Have just started using this feature but seems fairly easy. Husband has already used it to read a book. He liked it.
【正解】: 1 | 【予測】: 4 (3.6405356) | OOV: 0/51 | 【本文】: all you get are the reality tv shows and Not really many of the other discovery shows. Just rows and rows of reality and that Isnt what I love about Discovery channel and that isnt what the word Discovery is... was so disappointed. Will change later if I find out differently.
【正解】: 3 | 【予測】: 4 (4.060931) | OOV: 0/2 | 【本文】: Works good!
【正解】: 5 | 【予測】: 4 (3.833987) | OOV: 0/9 | 【本文】: Liked this as much as playing with real cards.
【正解】: 5 | 【予測】: 4 (4.1235127) | OOV: 0/13 | 【本文】: Another addiction of mine! Have played endless games and continue to do so!
【正解】: 5 | 【予測】: 4 (3.9432724) | OOV: 0/4 | 【本文】: Great program to use
【正解】: 4 | 【予測】: 4 (3.86077) | OOV: 0/29 | 【本文】: Pretty good game, definitely something to waste some time with. Gets kind of dull after a while. But all in all, a pretty good deal for a free app.
【正解】: 1 | 【予測】: 4 (3.6518822) | OOV: 0/4 | 【本文】: It will not download!
【正解】: 5 | 【予測】: 4 (3.9181032) | OOV: 0/4 | 【本文】: It is lit now
【正解】: 4 | 【予測】: 4 (3.7178187) | OOV: 0/25 | 【本文】: This is one of a few match 3 game that keeps me interested. It is the only match 3 that I have on my Fire.
【正解】: 5 | 【予測】: 4 (4.098873) | OOV: 0/2 | 【本文】: Love it!
【正解】: 4 | 【予測】: 4 (4.1481924) | OOV: 0/5 | 【本文】: Good, short little escape game.
【正解】: 5 | 【予測】: 4 (3.8774538) | OOV: 0/11 | 【本文】: Nicely laid out app. Easy to understand and lots of choice.
【正解】: 5 | 【予測】: 4 (3.9001386) | OOV: 0/9 | 【本文】: Very nice and simple. I can play for hours
【正解】: 5 | 【予測】: 4 (3.6411693) | OOV: 0/4 | 【本文】: Great game, very relaxing
【正解】: 5 | 【予測】: 4 (3.7304535) | OOV: 0/2 | 【本文】: Great selection
【正解】: 5 | 【予測】: 4 (3.7198172) | OOV: 0/22 | 【本文】: If you close the app and open the next day you can start where you left off on whatever you were listening.
【正解】: 1 | 【予測】: 4 (3.8439171) | OOV: 0/7 | 【本文】: Games I wanted to see not available
【正解】: 1 | 【予測】: 4 (3.8439171) | OOV: 0/7 | 【本文】: Games I wanted to see not available!
【正解】: 5 | 【予測】: 4 (4.0112653) | OOV: 0/3 | 【本文】: Love love love
