【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: OK
【正解】: 3 | 【予測】: 3 (3.447195) | OOV: 0/15 | 【本文】: Did not appeal to me. Puzzles were annoying and was too many. Story was dull.
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.157254) | OOV: 0/1 | 【本文】: Ya
【正解】: 3 | 【予測】: 3 (3.163955) | OOV: 0/16 | 【本文】: Too rich for my blood. Especially when I can get the game free with an antenna
【正解】: 3 | 【予測】: 3 (3.4166121) | OOV: 0/3 | 【本文】: Some fun tones.
【正解】: 3 | 【予測】: 3 (3.4498773) | OOV: 0/1 | 【本文】: fair
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.4112644) | OOV: 0/9 | 【本文】: Keep up on the good work Thank U Spotify
【正解】: 4 | 【予測】: 4 (3.5654972) | OOV: 0/14 | 【本文】: Simply easy and accurate, just what I need at the tip of my fingers!
【正解】: 4 | 【予測】: 4 (4.0843325) | OOV: 0/3 | 【本文】: Relaxing and fun
【正解】: 4 | 【予測】: 4 (3.6982965) | OOV: 0/11 | 【本文】: Very challenging game for young and older adults! Enjoy using brain.
【正解】: 4 | 【予測】: 4 (4.1442385) | OOV: 0/2 | 【本文】: Enjoyable game!
【正解】: 4 | 【予測】: 4 (4.0794573) | OOV: 0/5 | 【本文】: I like it works good
【正解】: 4 | 【予測】: 4 (3.5742242) | OOV: 0/1 | 【本文】: useful.
【正解】: 4 | 【予測】: 4 (3.8012948) | OOV: 0/1 | 【本文】: good.
【正解】: 4 | 【予測】: 4 (3.7418084) | OOV: 0/3 | 【本文】: used and worked.
【正解】: 4 | 【予測】: 4 (3.786255) | OOV: 0/2 | 【本文】: Good Product!
【正解】: 4 | 【予測】: 4 (3.6440995) | OOV: 0/1 | 【本文】: Happy
【正解】: 4 | 【予測】: 4 (3.5030553) | OOV: 0/8 | 【本文】: It works great on a Kindle Fire tablet.
【正解】: 4 | 【予測】: 4 (3.9022915) | OOV: 0/5 | 【本文】: Wish it was multi player
【正解】: 4 | 【予測】: 4 (3.9022288) | OOV: 0/7 | 【本文】: Had some connection issues and voice issues
【正解】: 4 | 【予測】: 4 (3.638715) | OOV: 0/7 | 【本文】: Fun to play, good bonus spin reward.
【正解】: 4 | 【予測】: 4 (3.8955607) | OOV: 0/6 | 【本文】: Gets the job done every year.
【正解】: 4 | 【予測】: 4 (3.8027816) | OOV: 0/1 | 【本文】: Fun
【正解】: 4 | 【予測】: 4 (3.7358248) | OOV: 0/1 | 【本文】: Great
【正解】: 4 | 【予測】: 4 (3.8672643) | OOV: 0/22 | 【本文】: This one seems to allow more play time by making the rewards easier. I like better than the other one I tried!
【正解】: 4 | 【予測】: 4 (3.9883754) | OOV: 0/26 | 【本文】: Like this game so far. I wish the pictures were a little bigger though. But it gives us a chance to play and help each other.
【正解】: 4 | 【予測】: 4 (4.178878) | OOV: 0/4 | 【本文】: Challenging and fun game
【正解】: 4 | 【予測】: 4 (4.097031) | OOV: 0/25 | 【本文】: This is a fun app for children. If you have small children I would recommend this app for them. My 7 year old loves it!
【正解】: 4 | 【予測】: 4 (3.5508535) | OOV: 0/1 | 【本文】: Thanks
【正解】: 4 | 【予測】: 4 (4.0826044) | OOV: 0/3 | 【本文】: Lots of fun!
【正解】: 4 | 【予測】: 4 (4.048982) | OOV: 0/5 | 【本文】: It was easy to play.
【正解】: 4 | 【予測】: 4 (3.86077) | OOV: 0/29 | 【本文】: Pretty good game, definitely something to waste some time with. Gets kind of dull after a while. But all in all, a pretty good deal for a free app.
【正解】: 4 | 【予測】: 4 (3.7178187) | OOV: 0/25 | 【本文】: This is one of a few match 3 game that keeps me interested. It is the only match 3 that I have on my Fire.
【正解】: 4 | 【予測】: 4 (4.1481924) | OOV: 0/5 | 【本文】: Good, short little escape game.
【正解】: 4 | 【予測】: 4 (3.934369) | OOV: 0/20 | 【本文】: This is my new favorite game!! Lots of challenges and lots of levels. Not the same thing over and over.
【正解】: 4 | 【予測】: 4 (4.0939956) | OOV: 0/13 | 【本文】: Too many pop up and pay to play ads but overall, pretty good
【正解】: 4 | 【予測】: 4 (4.094551) | OOV: 0/9 | 【本文】: It tricks our brain and it is very fun.
【正解】: 4 | 【予測】: 4 (3.9314735) | OOV: 0/33 | 【本文】: This game was a little hard to see the tiles and to determine where to click or which ones I should choose. It only was played a few times and never touched again.
【正解】: 4 | 【予測】: 4 (3.9379644) | OOV: 0/12 | 【本文】: I love this game so much I just wish they were free
【正解】: 4 | 【予測】: 4 (4.1111507) | OOV: 0/17 | 【本文】: This is a great game if you want to be challenge and you have fun with it
【正解】: 4 | 【予測】: 4 (3.7358248) | OOV: 0/1 | 【本文】: Great
【正解】: 4 | 【予測】: 4 (4.177726) | OOV: 0/7 | 【本文】: When bored something to play good game
【正解】: 4 | 【予測】: 4 (4.0813217) | OOV: 0/5 | 【本文】: Fit and design were good.
【正解】: 4 | 【予測】: 4 (3.7833726) | OOV: 0/4 | 【本文】: Very good it wondering
【正解】: 4 | 【予測】: 4 (3.517976) | OOV: 0/3 | 【本文】: Better than cable
【正解】: 4 | 【予測】: 4 (3.876461) | OOV: 0/59 | 【本文】: This is a very good game in my opinion, however I think that the devs should allow support for ps4 users because when I may my controller it does not work correctly and I just start spinning around in circles. Otherwise you should totally get it. A lot of hard work has been put into this game I believe.
【正解】: 4 | 【予測】: 4 (3.9132297) | OOV: 0/13 | 【本文】: A really fun app for playing with the photos you have laying around
【正解】: 4 | 【予測】: 4 (3.8238235) | OOV: 0/5 | 【本文】: Works better than the website.
【正解】: 4 | 【予測】: 4 (3.9469018) | OOV: 0/19 | 【本文】: I liked the game, it was a lot of fun. The game is large enough to last a while.
【正解】: 4 | 【予測】: 4 (3.9864142) | OOV: 0/2 | 【本文】: Not bad...
【正解】: 4 | 【予測】: 4 (3.9307768) | OOV: 0/6 | 【本文】: Needs more levels for single player
【正解】: 4 | 【予測】: 4 (3.845637) | OOV: 0/11 | 【本文】: Wish there were more sports but otherwise a great streaming option
【正解】: 4 | 【予測】: 4 (4.15602) | OOV: 0/2 | 【本文】: Great game
【正解】: 4 | 【予測】: 4 (4.098873) | OOV: 0/2 | 【本文】: Love it!
【正解】: 4 | 【予測】: 4 (3.9467514) | OOV: 0/3 | 【本文】: Needs more content
【正解】: 4 | 【予測】: 4 (3.8853996) | OOV: 0/6 | 【本文】: Nice app for home improvement ideas!
【正解】: 4 | 【予測】: 4 (3.797133) | OOV: 0/30 | 【本文】: This is a great time killer. Easy to use, looks good and plays well. I can play this any time and stop when needed. Then come back and continue later.
【正解】: 4 | 【予測】: 4 (3.9151554) | OOV: 0/5 | 【本文】: Needed for all Office needs
【正解】: 4 | 【予測】: 4 (3.8073556) | OOV: 0/7 | 【本文】: a must have for all Apple users
【正解】: 4 | 【予測】: 4 (3.6326704) | OOV: 0/3 | 【本文】: Too many advertising
【正解】: 4 | 【予測】: 4 (4.090577) | OOV: 0/10 | 【本文】: This is a fun game. I recommend you download it.
【正解】: 4 | 【予測】: 4 (4.010468) | OOV: 0/14 | 【本文】: After I figured out what kind of files it works with, it worked great.
【正解】: 4 | 【予測】: 4 (3.6713352) | OOV: 0/3 | 【本文】: Brings back memories.
【正解】: 4 | 【予測】: 4 (3.551127) | OOV: 0/16 | 【本文】: A really nice game gets pretty challenging in steps ,fun to play, except for annoying adds!
【正解】: 4 | 【予測】: 4 (3.9602678) | OOV: 0/7 | 【本文】: Not really what I was looking for.
【正解】: 4 | 【予測】: 4 (3.9602675) | OOV: 0/6 | 【本文】: Not what I was looking for
【正解】: 4 | 【予測】: 4 (3.9602675) | OOV: 0/6 | 【本文】: Not what I was looking for
【正解】: 4 | 【予測】: 4 (3.7817137) | OOV: 0/26 | 【本文】: Wish their mobile radar map was as good as the one they have for the I-Phone. The app also contains news and lots of local data
【正解】: 4 | 【予測】: 4 (3.685999) | OOV: 0/7 | 【本文】: easily became part of my Amazon Fire.
【正解】: 4 | 【予測】: 4 (3.8647854) | OOV: 0/5 | 【本文】: Trying to catch my friend.
【正解】: 4 | 【予測】: 4 (4.084694) | OOV: 0/2 | 【本文】: Enjoyed it
【正解】: 4 | 【予測】: 4 (3.528135) | OOV: 0/16 | 【本文】: Fun little game, that goes quickly and help pass time as you wait for an appointment.
【正解】: 4 | 【予測】: 4 (4.0609026) | OOV: 0/5 | 【本文】: use from time to time
【正解】: 4 | 【予測】: 4 (3.950842) | OOV: 0/10 | 【本文】: have not used much. but works pretty good so far.
【正解】: 4 | 【予測】: 4 (3.9964514) | OOV: 0/4 | 【本文】: Play this game often.
【正解】: 4 | 【予測】: 4 (4.1549826) | OOV: 0/4 | 【本文】: Fun and challenging game
【正解】: 4 | 【予測】: 4 (3.9506814) | OOV: 0/4 | 【本文】: Works good so far.
【正解】: 4 | 【予測】: 4 (3.767178) | OOV: 0/10 | 【本文】: Nice app to have. Only draw back is limited features.
【正解】: 4 | 【予測】: 4 (3.8683093) | OOV: 0/4 | 【本文】: Enjoy reading this daily.
【正解】: 4 | 【予測】: 4 (3.664071) | OOV: 0/6 | 【本文】: Good addition to my Kindle Fire.
【正解】: 4 | 【予測】: 4 (4.098221) | OOV: 0/4 | 【本文】: So far so good
【正解】: 4 | 【予測】: 4 (4.1675754) | OOV: 0/21 | 【本文】: This has been a fun game that was free and I can resist the purchases and still enjoy playing the game
【正解】: 4 | 【予測】: 4 (3.7116117) | OOV: 0/11 | 【本文】: Lots of fun. Not too hard, just enough to stay challenging.
【正解】: 4 | 【予測】: 4 (4.0490775) | OOV: 0/5 | 【本文】: Fun game! Easy to play.
【正解】: 4 | 【予測】: 4 (3.7694104) | OOV: 0/6 | 【本文】: Nice at at a good price.
【正解】: 4 | 【予測】: 4 (3.9878478) | OOV: 0/7 | 【本文】: Good game but the levels are hard.
【正解】: 4 | 【予測】: 4 (4.1775155) | OOV: 0/22 | 【本文】: It is a fun game and my mom allows me to play it all day. So I say its a good game
【正解】: 4 | 【予測】: 4 (4.1762886) | OOV: 0/21 | 【本文】: awesome app but it needs facebook for a lot of the things. I play it all the time. Wow good game!
【正解】: 4 | 【予測】: 4 (4.139597) | OOV: 0/2 | 【本文】: basic game
【正解】: 4 | 【予測】: 4 (4.0302234) | OOV: 0/61 | 【本文】: I wanted a change and to have some new pictures and ideas for some projects so I ordered the Print Shop. I have always liked Print Shop and I still do but do not find it as easy to use as the older version. But, with practice maybe I will figure it out. It is a good buy for the money.
【正解】: 4 | 【予測】: 4 (3.6916432) | OOV: 0/11 | 【本文】: Toy Blast is a great game to keep your mind active.
【正解】: 4 | 【予測】: 4 (4.116271) | OOV: 0/10 | 【本文】: Apparently need to go buy a hand controller for games?
【正解】: 4 | 【予測】: 4 (4.0549) | OOV: 0/6 | 【本文】: It helps me pass the time.
【正解】: 4 | 【予測】: 4 (3.9431815) | OOV: 0/3 | 【本文】: Easy to use.
【正解】: 4 | 【予測】: 4 (3.8915482) | OOV: 0/2 | 【本文】: A must
【正解】: 4 | 【予測】: 4 (3.6997068) | OOV: 0/5 | 【本文】: A must for sports fan
【正解】: 4 | 【予測】: 4 (3.9602675) | OOV: 0/7 | 【本文】: I found what I was looking for.
【正解】: 4 | 【予測】: 4 (3.5818245) | OOV: 0/46 | 【本文】: Google calendar has its advantages in that like other Google products it follows you from device to device. But, also like other Google products, it could be a lot more robust. It is a bit simple and I would like something a bit more full featured.
【正解】: 4 | 【予測】: 4 (3.612879) | OOV: 0/1 | 【本文】: Cool
【正解】: 4 | 【予測】: 4 (4.065913) | OOV: 0/4 | 【本文】: Fun game as always
【正解】: 4 | 【予測】: 4 (3.827564) | OOV: 0/3 | 【本文】: Works fine. Thanks.
【正解】: 4 | 【予測】: 4 (3.8222506) | OOV: 0/2 | 【本文】: No thanks
【正解】: 4 | 【予測】: 4 (3.8222506) | OOV: 0/2 | 【本文】: No thanks
【正解】: 4 | 【予測】: 4 (3.9674335) | OOV: 0/27 | 【本文】: Nice app. On the Kindle Fire I have some issues with being able to delete posts from my wall. A nice, handy on the go app though.
【正解】: 4 | 【予測】: 4 (4.0249605) | OOV: 0/22 | 【本文】: Does a good job. Used to complete my own tax returns but schedule D was too complicated. Was a breeze with this.
【正解】: 4 | 【予測】: 4 (3.5756342) | OOV: 0/21 | 【本文】: Enjoy this one very much ...You can get really into this fast paced game but be ready to crash and burn
【正解】: 4 | 【予測】: 4 (3.9497879) | OOV: 0/6 | 【本文】: Works fine. No problems so far.
【正解】: 4 | 【予測】: 4 (4.0554395) | OOV: 0/5 | 【本文】: works most of the time
【正解】: 4 | 【予測】: 4 (4.1018705) | OOV: 0/20 | 【本文】: Love the games here. I play all day and it has become one of my favorite slot games. Enjoying it!!!
【正解】: 4 | 【予測】: 4 (3.8012948) | OOV: 0/1 | 【本文】: Good
【正解】: 4 | 【予測】: 4 (3.7591941) | OOV: 0/11 | 【本文】: Could be a little more user friendly. Good for the price.
【正解】: 4 | 【予測】: 4 (3.7973754) | OOV: 0/16 | 【本文】: Great cooking game. Challenging and keep you on your toes. Not to play while hungry (lol).
【正解】: 4 | 【予測】: 4 (3.5052495) | OOV: 0/34 | 【本文】: Both Happy Chef 1 and Happy Chef 2 are great games. The foods are delicious to make and look at. The different level to pass and the food gets better each level you tackle.
【正解】: 4 | 【予測】: 4 (3.8526688) | OOV: 0/4 | 【本文】: Not enough newer movies
【正解】: 4 | 【予測】: 4 (3.9305272) | OOV: 0/3 | 【本文】: Happy happy happy
【正解】: 4 | 【予測】: 4 (3.8973963) | OOV: 0/12 | 【本文】: it is a cute game and will keep you occupied for hours
【正解】: 4 | 【予測】: 4 (3.95115) | OOV: 0/6 | 【本文】: I enjoy this game so far.
【正解】: 4 | 【予測】: 4 (3.8092732) | OOV: 0/5 | 【本文】: It is challenging but enjoyable.
【正解】: 4 | 【予測】: 4 (3.855305) | OOV: 0/3 | 【本文】: EAsy and fast
【正解】: 4 | 【予測】: 4 (3.5751889) | OOV: 0/6 | 【本文】: Love the graphics and the wins.
【正解】: 4 | 【予測】: 4 (3.792254) | OOV: 0/9 | 【本文】: Just that. The coins s you have to buy.
【正解】: 4 | 【予測】: 4 (3.708735) | OOV: 0/15 | 【本文】: I really love this game, but wish the coin packs were bigger and more affordable.
【正解】: 4 | 【予測】: 4 (4.174313) | OOV: 0/4 | 【本文】: I like this game.
【正解】: 4 | 【予測】: 4 (3.876628) | OOV: 0/21 | 【本文】: This is such a great way to pass away the time. I love the aspect of being able to upgrade items.
【正解】: 4 | 【予測】: 4 (4.1175604) | OOV: 0/23 | 【本文】: This is by far one of the most fun and entertaining games that I have played in a long time! I love it!
【正解】: 4 | 【予測】: 4 (3.978034) | OOV: 0/6 | 【本文】: Did we just become best friends
【正解】: 4 | 【予測】: 4 (3.8743901) | OOV: 0/3 | 【本文】: Love new movies
【正解】: 4 | 【予測】: 4 (3.7412925) | OOV: 0/8 | 【本文】: A fun game to play with different challenges
【正解】: 4 | 【予測】: 4 (3.7412925) | OOV: 0/8 | 【本文】: A fun game to play with different challenges
【正解】: 4 | 【予測】: 4 (3.8727999) | OOV: 0/6 | 【本文】: I like the video and music
【正解】: 4 | 【予測】: 4 (3.7063575) | OOV: 0/23 | 【本文】: Great Game to get lost in. I was disappointed that it was extremely short with no indication of future levels to be added.
【正解】: 4 | 【予測】: 4 (3.57884) | OOV: 0/1 | 【本文】: Helpful
【正解】: 4 | 【予測】: 4 (3.5142744) | OOV: 0/1 | 【本文】: Enjoyable
【正解】: 4 | 【予測】: 4 (3.5142744) | OOV: 0/1 | 【本文】: Enjoyable
【正解】: 4 | 【予測】: 4 (3.9433084) | OOV: 0/14 | 【本文】: I really enjoy viewing my friends and family while we talk, makes me happy.
【正解】: 4 | 【予測】: 4 (3.7599792) | OOV: 0/13 | 【本文】: I love the adorable veggies and fruit. Their sound effects are too cute.
【正解】: 4 | 【予測】: 4 (4.0406456) | OOV: 0/7 | 【本文】: This game is a fun pass time.
【正解】: 4 | 【予測】: 4 (3.5030365) | OOV: 0/8 | 【本文】: It works great in the Kindle Fire tablet
【正解】: 4 | 【予測】: 4 (4.0493546) | OOV: 0/4 | 【本文】: Real fun to play
【正解】: 4 | 【予測】: 4 (4.068701) | OOV: 0/6 | 【本文】: Lots of fun! Candy crushing it!
【正解】: 4 | 【予測】: 4 (3.9787931) | OOV: 0/33 | 【本文】: I received the CD exactly when they said I would. I had an issue with the serial number and would have appreciated better customer support, but overall it was an ok buying experience.
【正解】: 4 | 【予測】: 4 (3.7065907) | OOV: 0/2 | 【本文】: Fun, challenging.
【正解】: 4 | 【予測】: 4 (4.098873) | OOV: 0/2 | 【本文】: Love it
【正解】: 4 | 【予測】: 4 (3.6992486) | OOV: 0/15 | 【本文】: The best app you can get the reading is the best library on your pc.
【正解】: 4 | 【予測】: 4 (3.54367) | OOV: 0/27 | 【本文】: Some puzzles are easy, just to get you in the swing of things. They become more challenging as you progress. I wish they had more free puzzles.
【正解】: 4 | 【予測】: 4 (4.146616) | OOV: 0/2 | 【本文】: awesome game
【正解】: 4 | 【予測】: 4 (3.9323242) | OOV: 0/23 | 【本文】: The only thing I wish it had was kings in a corner. None of the games seem too. This game is funny far.
【正解】: 4 | 【予測】: 4 (4.146616) | OOV: 0/2 | 【本文】: awesome game
【正解】: 4 | 【予測】: 4 (3.9323242) | OOV: 0/23 | 【本文】: The only thing I wish it had was kings in a corner. None of the games seem too. This game is funny far.
【正解】: 4 | 【予測】: 4 (4.0683455) | OOV: 0/9 | 【本文】: Game is pretty fun. It can get challenging too
【正解】: 4 | 【予測】: 4 (3.9607275) | OOV: 0/5 | 【本文】: Found it did the job
【正解】: 4 | 【予測】: 4 (4.0482616) | OOV: 0/3 | 【本文】: Fun to play
【正解】: 4 | 【予測】: 4 (3.736972) | OOV: 0/4 | 【本文】: Perfect accept PLEASE UPDATE!!!!!
【正解】: 4 | 【予測】: 4 (4.1521416) | OOV: 0/2 | 【本文】: Thank you!
【正解】: 4 | 【予測】: 4 (3.9708836) | OOV: 0/20 | 【本文】: It is often difficult to find good games for children. This one is so cute and does a good job.
【正解】: 4 | 【予測】: 4 (3.9854772) | OOV: 0/13 | 【本文】: Not so hard that you give up. Good mix of easy and hard
【正解】: 4 | 【予測】: 4 (3.8012948) | OOV: 0/1 | 【本文】: good
【正解】: 4 | 【予測】: 4 (3.925047) | OOV: 0/22 | 【本文】: This was a great app for following the action of March madness. I could get live feeds and updates whenever I wanted.
【正解】: 4 | 【予測】: 4 (4.0548573) | OOV: 0/6 | 【本文】: Fun way to pass the time.
【正解】: 4 | 【予測】: 4 (4.0596485) | OOV: 0/3 | 【本文】: makes you think
【正解】: 4 | 【予測】: 4 (4.1614366) | OOV: 0/2 | 【本文】: fun game
【正解】: 4 | 【予測】: 4 (4.0804243) | OOV: 0/21 | 【本文】: Good product but not for business cards. Not sure if the upgrade has the ability to produce business cards. Otherwise good.
【正解】: 4 | 【予測】: 4 (3.8996222) | OOV: 0/22 | 【本文】: Game is not the best or worst game I have ever played. The company could do better with fixing the connection issues.
【正解】: 4 | 【予測】: 4 (3.9826853) | OOV: 0/24 | 【本文】: easy interface. works great with the fire. limited ads which do not interfere with the app itself. works great on the android as well.
【正解】: 4 | 【予測】: 4 (4.08875) | OOV: 0/20 | 【本文】: like this game alot, it is another one of those. keep me busy type games, so thank you very much!
【正解】: 4 | 【予測】: 4 (3.6752243) | OOV: 0/1 | 【本文】: Nice
【正解】: 4 | 【予測】: 4 (3.7563732) | OOV: 0/19 | 【本文】: This is a great little app to have to keep track of your appointments, medical history, and lab results.
【正解】: 4 | 【予測】: 4 (4.1634164) | OOV: 0/3 | 【本文】: New favorite game.
【正解】: 4 | 【予測】: 4 (4.1190424) | OOV: 0/22 | 【本文】: In my opinion I think this game is better than how many people have it is better than lots of other games
【正解】: 4 | 【予測】: 4 (3.522793) | OOV: 0/5 | 【本文】: Enjoy most of the rounds!
【正解】: 4 | 【予測】: 4 (3.7826192) | OOV: 0/2 | 【本文】: Great product!
【正解】: 4 | 【予測】: 4 (4.085376) | OOV: 0/3 | 【本文】: Different and fun
【正解】: 4 | 【予測】: 4 (4.0133514) | OOV: 0/6 | 【本文】: Use it every year, works great!!
【正解】: 4 | 【予測】: 4 (4.005928) | OOV: 0/7 | 【本文】: One of the better of its kind
【正解】: 4 | 【予測】: 4 (3.8763626) | OOV: 0/12 | 【本文】: this is a fun game and the challenge increases with each level.
【正解】: 4 | 【予測】: 4 (4.1064115) | OOV: 0/12 | 【本文】: This is a fun game once you get the hang of it.
【正解】: 4 | 【予測】: 4 (4.054859) | OOV: 0/9 | 【本文】: This is a fun game to pass the time.
【正解】: 4 | 【予測】: 4 (4.097251) | OOV: 0/4 | 【本文】: Kinda hard but fun
【正解】: 4 | 【予測】: 4 (3.977402) | OOV: 0/3 | 【本文】: It works well
【正解】: 4 | 【予測】: 4 (3.8027816) | OOV: 0/1 | 【本文】: Fun
【正解】: 4 | 【予測】: 4 (4.0482616) | OOV: 0/3 | 【本文】: Fun to play
【正解】: 4 | 【予測】: 4 (3.8012948) | OOV: 0/1 | 【本文】: Good
【正解】: 4 | 【予測】: 4 (3.8027816) | OOV: 0/1 | 【本文】: fun
【正解】: 4 | 【予測】: 4 (3.7408354) | OOV: 0/26 | 【本文】: My kids love this game and it keeps them busy trying to figure out how to put the thing together to get to the finish line.
【正解】: 4 | 【予測】: 4 (4.060671) | OOV: 0/42 | 【本文】: I am fairly new to the use of apps but this one is seems great for my kindle fire. It gives you current temp and conditions. With a simple click you get an updated forecast for the week. This I will keep.
【正解】: 4 | 【予測】: 4 (3.7591996) | OOV: 0/3 | 【本文】: it is ok
【正解】: 4 | 【予測】: 4 (3.8075366) | OOV: 0/4 | 【本文】: Fun game but expensive
【正解】: 4 | 【予測】: 4 (3.8543513) | OOV: 0/2 | 【本文】: Good app
【正解】: 4 | 【予測】: 4 (3.8543513) | OOV: 0/2 | 【本文】: Good app
【正解】: 4 | 【予測】: 4 (3.630096) | OOV: 0/6 | 【本文】: Great but to many repeated articles
【正解】: 4 | 【予測】: 4 (3.516464) | OOV: 0/2 | 【本文】: Time killer
【正解】: 4 | 【予測】: 4 (3.8969393) | OOV: 0/7 | 【本文】: Calls were good but could be longer
【正解】: 4 | 【予測】: 4 (4.1148543) | OOV: 0/5 | 【本文】: My 2 sons play it!
【正解】: 4 | 【予測】: 4 (4.0977116) | OOV: 0/4 | 【本文】: My kids loves it
【正解】: 4 | 【予測】: 4 (3.776059) | OOV: 0/7 | 【本文】: Fun game! It has kept me busy
【正解】: 4 | 【予測】: 4 (4.0168734) | OOV: 0/5 | 【本文】: I love games like these.
【正解】: 4 | 【予測】: 4 (3.7478304) | OOV: 0/22 | 【本文】: So far this is a fairly enjoyable game. I have not had any issues yet, if any come up I will update.
【正解】: 4 | 【予測】: 4 (3.8542156) | OOV: 0/24 | 【本文】: This is a fun little app for my phone! I play it when I am waiting around!!!!! I would recommend it to a friend!
【正解】: 4 | 【予測】: 4 (3.8542156) | OOV: 0/24 | 【本文】: This is a fun little app for my phone! I play it when I am waiting around!!!!! I would recommend it to a friend!
【正解】: 4 | 【予測】: 4 (3.7194462) | OOV: 0/22 | 【本文】: Reminds me of the original game I played as a kid. The computer plays to win which makes it a little challenging.
【正解】: 4 | 【予測】: 4 (3.6977303) | OOV: 0/6 | 【本文】: Very similar to desk top version.
【正解】: 4 | 【予測】: 4 (3.7976885) | OOV: 0/4 | 【本文】: I like the variety
【正解】: 4 | 【予測】: 4 (4.1470356) | OOV: 0/7 | 【本文】: Still a great, and fun, educational game.
【正解】: 4 | 【予測】: 4 (3.5536473) | OOV: 0/5 | 【本文】: does the job, per son
【正解】: 4 | 【予測】: 4 (4.009682) | OOV: 0/8 | 【本文】: Its a little complicated at first, but like!!!
【正解】: 4 | 【予測】: 4 (3.9735482) | OOV: 0/13 | 【本文】: interesting, I do not expect to love everything. Cool is good enough sometimes.
【正解】: 4 | 【予測】: 4 (3.7524066) | OOV: 0/15 | 【本文】: So far so good. Love being able to switch from map view to list view.
【正解】: 4 | 【予測】: 4 (4.1458073) | OOV: 0/10 | 【本文】: this is GREAT if youre looking for a drawing game
【正解】: 4 | 【予測】: 4 (3.8915482) | OOV: 0/2 | 【本文】: A must
