【正解】: 1 | 【予測】: 4 (4.0605974) | OOV: 0/12 | 【本文】: It does not work. I have tried it a number of times.
【正解】: 5 | 【予測】: 4 (3.9403512) | OOV: 0/7 | 【本文】: Very effective on my android. Quick, effective.
【正解】: 1 | 【予測】: 4 (4.035277) | OOV: 0/7 | 【本文】: Quit watching the news on election night.
【正解】: 4 | 【予測】: 4 (4.0256004) | OOV: 0/5 | 【本文】: Wish it was multi player
【正解】: 1 | 【予測】: 4 (4.1814795) | OOV: 0/4 | 【本文】: No use for it
【正解】: 5 | 【予測】: 4 (4.066251) | OOV: 0/7 | 【本文】: Just installed this works great so far
【正解】: 4 | 【予測】: 4 (4.0378447) | OOV: 0/7 | 【本文】: Had some connection issues and voice issues
【正解】: 5 | 【予測】: 4 (4.1365595) | OOV: 0/8 | 【本文】: Love the app listen to it every day
【正解】: 1 | 【予測】: 4 (4.04589) | OOV: 0/37 | 【本文】: Hated! Did one picture and never used it again! These apps should have the price listed before your get it and get a monthly bill for something you deleted after one try! That is a rip off!
【正解】: 2 | 【予測】: 4 (4.0544977) | OOV: 0/4 | 【本文】: Nothing like Design Home!
【正解】: 5 | 【予測】: 4 (3.8987608) | OOV: 0/18 | 【本文】: I like it very much, it is the most difficult word search I have ever done. Very challenging!
【正解】: 1 | 【予測】: 4 (3.9269755) | OOV: 0/8 | 【本文】: I do not recall what this product was.
【正解】: 1 | 【予測】: 4 (3.7504482) | OOV: 0/15 | 【本文】: Every time I try to open it I get a message. Sorry Ebay app closed.
【正解】: 5 | 【予測】: 4 (4.0659866) | OOV: 0/7 | 【本文】: I have had no problems so far.
【正解】: 5 | 【予測】: 4 (4.2315717) | OOV: 0/5 | 【本文】: For the most part fun
【正解】: 5 | 【予測】: 4 (4.165337) | OOV: 0/5 | 【本文】: Great game, love to play
【正解】: 5 | 【予測】: 4 (4.170536) | OOV: 0/15 | 【本文】: Very fun game, I was stuck on the one level but I finally beat it
【正解】: 5 | 【予測】: 4 (3.8968928) | OOV: 0/21 | 【本文】: This is a very fun game, sometimes a little hard, but I like match 3 games, would recommend to any body
【正解】: 5 | 【予測】: 4 (4.0943174) | OOV: 0/20 | 【本文】: Loved this game! Some times a little hard, but that made it more fun. Would like to see another one.
【正解】: 1 | 【予測】: 4 (3.5465739) | OOV: 0/24 | 【本文】: Never even able to play the game. Tablet had it keep force closing. do not buy. horrible. kept trying to show me a advertisement.
【正解】: 5 | 【予測】: 4 (3.9892662) | OOV: 0/28 | 【本文】: I have had hours of entertainment from this game. I like how as the shark grows larger it can eat more dangerous creatures and travel to different places.
【正解】: 5 | 【予測】: 4 (4.095072) | OOV: 0/8 | 【本文】: Pleasant music, good brain exercise. Not too hard.
【正解】: 5 | 【予測】: 4 (4.1269245) | OOV: 0/6 | 【本文】: Hope it continues to hit big
【正解】: 5 | 【予測】: 4 (3.7728689) | OOV: 0/6 | 【本文】: Gets the good data others ignore
【正解】: 4 | 【予測】: 4 (3.8550055) | OOV: 0/7 | 【本文】: Fun to play, good bonus spin reward.
【正解】: 1 | 【予測】: 4 (4.097882) | OOV: 0/15 | 【本文】: I wanted paint by numbers. Not what this doses I will never use this one.
【正解】: 1 | 【予測】: 4 (4.296081) | OOV: 0/5 | 【本文】: Did not enjoy this game
【正解】: 5 | 【予測】: 4 (4.1821165) | OOV: 0/9 | 【本文】: I have used turbo tax for years love it.
【正解】: 4 | 【予測】: 4 (4.0360804) | OOV: 0/6 | 【本文】: Gets the job done every year.
【正解】: 1 | 【予測】: 4 (4.074015) | OOV: 0/12 | 【本文】: Did not work. Had to sign up to existing account. Not free
【正解】: 5 | 【予測】: 4 (3.941944) | OOV: 0/11 | 【本文】: I like that it has a variety if kid friendly shows.
【正解】: 5 | 【予測】: 4 (3.720401) | OOV: 0/87 | 【本文】: Love, love, this app and this service. The price can not be beat for the amount and kind of channels you get. The app is easy to use, getting started and setup is easy to use and I absolutely LOVE that a password is not used to sign in. They send you a one time code to login. Maybe an issue if the persons email address is not accessible but I think the pros or weigh the cons in terms of using the code versus a password.
【正解】: 2 | 【予測】: 4 (4.1484923) | OOV: 0/34 | 【本文】: I was excited to try this as I do like this old style graphics and gameplay, but the graphics were really bad for a 7 inch tablet and could not play it at all.
【正解】: 2 | 【予測】: 4 (4.163982) | OOV: 0/22 | 【本文】: It got very hot and ultimately quit working within the first week! When it did work it worked well. I returned it.
【正解】: 2 | 【予測】: 4 (3.8109126) | OOV: 0/12 | 【本文】: I like the I phone one much better. This one needs improved.
【正解】: 5 | 【予測】: 4 (4.137057) | OOV: 0/31 | 【本文】: This was one of the main reasons I ordered a Kindle Fire, to watch Netflix. It downloaded quick and I have watched several things on it already and it works great!
【正解】: 3 | 【予測】: 4 (3.8047903) | OOV: 0/14 | 【本文】: Large print was nice and easy to find the words because of the print.
【正解】: 3 | 【予測】: 4 (3.9896913) | OOV: 0/5 | 【本文】: Its kinda different i guess
【正解】: 1 | 【予測】: 4 (4.1250787) | OOV: 0/7 | 【本文】: Where are these things supposed to be?
【正解】: 1 | 【予測】: 4 (4.1776595) | OOV: 0/4 | 【本文】: Never heard of it
【正解】: 1 | 【予測】: 4 (4.1776595) | OOV: 0/4 | 【本文】: Never heard of it
【正解】: 5 | 【予測】: 4 (4.0730324) | OOV: 0/11 | 【本文】: I am surprised at how good it is, and for free!!
【正解】: 5 | 【予測】: 4 (4.1458073) | OOV: 0/21 | 【本文】: I love how easy it was to download and register. The instructions were very easy to understand. These guys are great!
【正解】: 5 | 【予測】: 4 (3.8198488) | OOV: 0/13 | 【本文】: Spotify is excellent I love it it deserves even more than 5 stars.
【正解】: 1 | 【予測】: 4 (3.6034474) | OOV: 0/4 | 【本文】: It is a calculator....
【正解】: 4 | 【予測】: 4 (3.9156673) | OOV: 0/22 | 【本文】: This one seems to allow more play time by making the rewards easier. I like better than the other one I tried!
【正解】: 4 | 【予測】: 4 (4.1025305) | OOV: 0/26 | 【本文】: Like this game so far. I wish the pictures were a little bigger though. But it gives us a chance to play and help each other.
【正解】: 5 | 【予測】: 4 (4.0386605) | OOV: 0/5 | 【本文】: I like the updated movies
【正解】: 5 | 【予測】: 4 (4.16535) | OOV: 0/5 | 【本文】: Fun game. Easy to play.
【正解】: 5 | 【予測】: 4 (4.1797724) | OOV: 0/25 | 【本文】: Easy to win, cute, passes the time. Singing bees at every level cute for awhile but not necessarily if you are playing a long time.
【正解】: 5 | 【予測】: 4 (4.0222125) | OOV: 0/9 | 【本文】: Cute game, easy to level up. Tasks complete quickly.
【正解】: 5 | 【予測】: 4 (4.0612) | OOV: 0/14 | 【本文】: Being a criminal justice major, there is plenty of content to keep be happy
【正解】: 5 | 【予測】: 4 (4.0062284) | OOV: 0/30 | 【本文】: If you like slots at the the Casinos, this is a great game to play. Lots of realistic slots, and chances to win. Daily reward for friends and visiting daily.
【正解】: 5 | 【予測】: 4 (4.192206) | OOV: 0/4 | 【本文】: Accurate information for me
【正解】: 1 | 【予測】: 4 (4.0153084) | OOV: 0/48 | 【本文】: Did not like these games. I got this app because of the ad on Wheel of Fortune. After I downloaded the app, I failed to find any Wheel of Fortune game. The games I was forced to play never even hit anything. I will be removing this app.
【正解】: 2 | 【予測】: 4 (3.747362) | OOV: 0/19 | 【本文】: I never could get the app to work properly. I have still been unable to access my health profile.
【正解】: 5 | 【予測】: 4 (4.0586257) | OOV: 0/6 | 【本文】: Easy, quick way to get books.
【正解】: 1 | 【予測】: 4 (3.8959682) | OOV: 0/26 | 【本文】: The app will not take my password for my account. I have tried changing my password and it still says invalid username or password?? Any suggestions?
【正解】: 5 | 【予測】: 4 (4.014056) | OOV: 0/5 | 【本文】: Easy to install and use.
【正解】: 1 | 【予測】: 4 (4.0555754) | OOV: 0/7 | 【本文】: Very rarely is there anything to watch
【正解】: 3 | 【予測】: 4 (4.0404716) | OOV: 0/36 | 【本文】: Was okay but nothing to amazing. It would not sync the audio with the visual quite often as well as just mess up the resolution completely and would have to restart the movie I was watching.
【正解】: 5 | 【予測】: 4 (3.9716206) | OOV: 0/10 | 【本文】: I love having all my music on my fire tv
【正解】: 1 | 【予測】: 4 (3.5135527) | OOV: 0/4 | 【本文】: Not what was advertised!
【正解】: 5 | 【予測】: 4 (3.9006832) | OOV: 0/26 | 【本文】: I played older versions of this game on my phone ....by far this version on my fire not only looks great but is also more challenging!
【正解】: 1 | 【予測】: 4 (4.121891) | OOV: 0/29 | 【本文】: This app sucks! No help section and zero instruction on how it works! Wasted dollar! I still need a password vault so I hope the next one is better.
【正解】: 4 | 【予測】: 4 (4.300267) | OOV: 0/4 | 【本文】: Challenging and fun game
【正解】: 5 | 【予測】: 4 (3.9892743) | OOV: 0/20 | 【本文】: The game is really fun I like how you earn new things to cook with and go to different places
【正解】: 1 | 【予測】: 4 (4.156793) | OOV: 0/32 | 【本文】: Would give it more stars if it were available for Fire TV. Turns out only works on cell phones and fire tablet, have no desire to watch tv on either of those.
【正解】: 5 | 【予測】: 4 (4.013039) | OOV: 0/9 | 【本文】: We love the live TV feature on the app!
【正解】: 5 | 【予測】: 4 (4.171285) | OOV: 0/26 | 【本文】: This is a great educational app for children. If you have small children I would recommend this app for them. My 7 year old loves it!
【正解】: 5 | 【予測】: 4 (4.171285) | OOV: 0/26 | 【本文】: This is a great educational app for children. If you have small children I would recommend this app for them. My 7 year old loves it!
【正解】: 5 | 【予測】: 4 (4.171285) | OOV: 0/26 | 【本文】: This is a fun educational app for children. If you have small children I would recommend this app for them. My 7 year old loves it!
【正解】: 4 | 【予測】: 4 (4.171285) | OOV: 0/25 | 【本文】: This is a fun app for children. If you have small children I would recommend this app for them. My 7 year old loves it!
【正解】: 5 | 【予測】: 4 (4.2185273) | OOV: 0/20 | 【本文】: This is a great educational app for children. If you have small children I would recommend this app for them.
【正解】: 5 | 【予測】: 4 (3.65127) | OOV: 0/20 | 【本文】: This is a good fun bingo game. I would recommend this bingo game to anyone who likes to play bingo.
【正解】: 5 | 【予測】: 4 (4.121859) | OOV: 0/6 | 【本文】: Perfect thanks Amazon for offering this.
【正解】: 4 | 【予測】: 4 (3.6513748) | OOV: 0/10 | 【本文】: I like it, so easy to install on my Kindle.
【正解】: 5 | 【予測】: 4 (4.3004036) | OOV: 0/6 | 【本文】: This is such a fun game!
【正解】: 5 | 【予測】: 4 (4.284047) | OOV: 0/12 | 【本文】: This is such a great bingo game!!!! Fantastic prizes and fun games.
【正解】: 5 | 【予測】: 4 (3.9952207) | OOV: 0/8 | 【本文】: Fun game gets more challenging with each level.
【正解】: 1 | 【予測】: 4 (3.9981606) | OOV: 0/7 | 【本文】: Not great but its free. Really short
【正解】: 5 | 【予測】: 4 (3.8991036) | OOV: 0/4 | 【本文】: Fun game Very challenging.
【正解】: 5 | 【予測】: 4 (3.9429352) | OOV: 0/5 | 【本文】: I played this twice enjoyed
【正解】: 5 | 【予測】: 4 (4.046559) | OOV: 0/7 | 【本文】: Great game keeps me entertain for hours
【正解】: 5 | 【予測】: 4 (3.9372895) | OOV: 0/6 | 【本文】: Works great. Keeps me on track
【正解】: 5 | 【予測】: 4 (4.291847) | OOV: 0/9 | 【本文】: Nice game for kids to play. Great learning game
【正解】: 5 | 【予測】: 4 (3.5661645) | OOV: 0/4 | 【本文】: Love this game. Addicted
【正解】: 5 | 【予測】: 4 (4.182351) | OOV: 0/7 | 【本文】: Great commercial free radio. I love it.
【正解】: 1 | 【予測】: 4 (4.1062284) | OOV: 0/9 | 【本文】: The ad looked good, but the game was not.
【正解】: 1 | 【予測】: 4 (4.062626) | OOV: 0/21 | 【本文】: Tried to set up my account &amp; log in but something strange keeps happening &amp; keeps asking me to try again.
【正解】: 5 | 【予測】: 4 (3.9995081) | OOV: 0/5 | 【本文】: Great time wasting relaxation app!
【正解】: 5 | 【予測】: 4 (3.8253946) | OOV: 0/4 | 【本文】: Awesome game!!! Great pace!
【正解】: 4 | 【予測】: 4 (4.165327) | OOV: 0/5 | 【本文】: It was easy to play.
【正解】: 5 | 【予測】: 4 (4.0181026) | OOV: 0/28 | 【本文】: Husband has enjoyed using this and says it is so easy to navigate. He enjoys reading so much and this helps him in picking out what to read.
【正解】: 5 | 【予測】: 4 (4.1730137) | OOV: 0/22 | 【本文】: Have just started using this feature but seems fairly easy. Husband has already used it to read a book. He liked it.
【正解】: 1 | 【予測】: 4 (3.7730436) | OOV: 0/51 | 【本文】: all you get are the reality tv shows and Not really many of the other discovery shows. Just rows and rows of reality and that Isnt what I love about Discovery channel and that isnt what the word Discovery is... was so disappointed. Will change later if I find out differently.
【正解】: 5 | 【予測】: 4 (3.9940834) | OOV: 0/9 | 【本文】: Liked this as much as playing with real cards.
【正解】: 5 | 【予測】: 4 (4.198446) | OOV: 0/13 | 【本文】: Another addiction of mine! Have played endless games and continue to do so!
【正解】: 5 | 【予測】: 4 (4.0171576) | OOV: 0/4 | 【本文】: Great program to use
【正解】: 4 | 【予測】: 4 (4.013398) | OOV: 0/29 | 【本文】: Pretty good game, definitely something to waste some time with. Gets kind of dull after a while. But all in all, a pretty good deal for a free app.
【正解】: 1 | 【予測】: 4 (3.8560324) | OOV: 0/4 | 【本文】: It will not download!
【正解】: 5 | 【予測】: 4 (4.038621) | OOV: 0/4 | 【本文】: It is lit now
【正解】: 4 | 【予測】: 4 (3.8672886) | OOV: 0/25 | 【本文】: This is one of a few match 3 game that keeps me interested. It is the only match 3 that I have on my Fire.
【正解】: 4 | 【予測】: 4 (4.2823906) | OOV: 0/5 | 【本文】: Good, short little escape game.
【正解】: 5 | 【予測】: 4 (3.9782188) | OOV: 0/11 | 【本文】: Nicely laid out app. Easy to understand and lots of choice.
【正解】: 5 | 【予測】: 4 (4.0476074) | OOV: 0/9 | 【本文】: Very nice and simple. I can play for hours
【正解】: 5 | 【予測】: 4 (3.8639956) | OOV: 0/4 | 【本文】: Great game, very relaxing
【正解】: 5 | 【予測】: 4 (3.9296324) | OOV: 0/22 | 【本文】: If you close the app and open the next day you can start where you left off on whatever you were listening.
【正解】: 1 | 【予測】: 4 (3.9732695) | OOV: 0/7 | 【本文】: Games I wanted to see not available
【正解】: 1 | 【予測】: 4 (3.9732695) | OOV: 0/7 | 【本文】: Games I wanted to see not available!
【正解】: 1 | 【予測】: 4 (4.0240507) | OOV: 0/15 | 【本文】: Does not work well. Paid service for poor quality streaming. Expensive for what they offer.
【正解】: 4 | 【予測】: 4 (4.0395017) | OOV: 0/20 | 【本文】: This is my new favorite game!! Lots of challenges and lots of levels. Not the same thing over and over.
【正解】: 2 | 【予測】: 4 (3.62832) | OOV: 0/5 | 【本文】: Deleted it shortly after installing.
【正解】: 3 | 【予測】: 4 (3.6844468) | OOV: 0/4 | 【本文】: I want to cancel
【正解】: 5 | 【予測】: 4 (4.1784587) | OOV: 0/4 | 【本文】: A game to enjoy
【正解】: 1 | 【予測】: 4 (3.900654) | OOV: 0/16 | 【本文】: I did not order this but do not know how to relay this back to amazon
【正解】: 5 | 【予測】: 4 (3.6513956) | OOV: 0/9 | 【本文】: love being able to watch movies on my kindle
【正解】: 5 | 【予測】: 4 (3.5569205) | OOV: 0/6 | 【本文】: Just got started but completely addicted!
【正解】: 5 | 【予測】: 4 (4.1099124) | OOV: 0/13 | 【本文】: Love this app, access to every file on tablet and cloud. Must have!!!
【正解】: 4 | 【予測】: 4 (4.173257) | OOV: 0/13 | 【本文】: Too many pop up and pay to play ads but overall, pretty good
【正解】: 5 | 【予測】: 4 (4.0519342) | OOV: 0/10 | 【本文】: Loved it! Would like to see it all year long.
【正解】: 1 | 【予測】: 4 (3.6046505) | OOV: 0/25 | 【本文】: If you have cut the cable cord, do not download this! You need to have a cable provider. The customer service was horrible and rude!
【正解】: 5 | 【予測】: 4 (3.866688) | OOV: 0/4 | 【本文】: Always fun and realistic
【正解】: 1 | 【予測】: 4 (4.054225) | OOV: 0/15 | 【本文】: It kept kicking me out of the game. Did not get to play for long.
【正解】: 5 | 【予測】: 4 (3.8433146) | OOV: 0/4 | 【本文】: Great for kindle fire.
【正解】: 4 | 【予測】: 4 (4.2373734) | OOV: 0/9 | 【本文】: It tricks our brain and it is very fun.
【正解】: 5 | 【予測】: 4 (4.1791425) | OOV: 0/4 | 【本文】: fun game for everyone!
【正解】: 3 | 【予測】: 4 (3.8424535) | OOV: 0/9 | 【本文】: really difficult and frustrating for teens, kids and adults
【正解】: 4 | 【予測】: 4 (4.0415463) | OOV: 0/33 | 【本文】: This game was a little hard to see the tiles and to determine where to click or which ones I should choose. It only was played a few times and never touched again.
【正解】: 5 | 【予測】: 4 (4.1390076) | OOV: 0/4 | 【本文】: Best poker game ever.
【正解】: 5 | 【予測】: 4 (4.2736197) | OOV: 0/8 | 【本文】: Fun and very much like the casino games!!!
【正解】: 1 | 【予測】: 4 (4.126603) | OOV: 0/4 | 【本文】: not happy with this
【正解】: 5 | 【予測】: 4 (3.9315536) | OOV: 0/28 | 【本文】: This is the best game. I got it on my phone and I was so excited it was on kindle. best game ever!!!! (written by 11 year old)
【正解】: 5 | 【予測】: 4 (4.088872) | OOV: 0/29 | 【本文】: this game is so amazing. I recommend it for all ages. I have never seen anything like it before and it helps you explore art in so many ways.
【正解】: 2 | 【予測】: 4 (4.0297623) | OOV: 0/4 | 【本文】: Old and outdated movies
【正解】: 5 | 【予測】: 4 (3.9955807) | OOV: 0/29 | 【本文】: So glad that this is on the kindle now!!! I am so addicted to this game! Now I can play it on my kindle more then on my phone.
【正解】: 5 | 【予測】: 4 (3.9462535) | OOV: 0/6 | 【本文】: Great to catch up on news
【正解】: 5 | 【予測】: 4 (4.133807) | OOV: 0/16 | 【本文】: I deleted other slot games and play this game only. This game really is the best!!!!
【正解】: 5 | 【予測】: 4 (4.2959776) | OOV: 0/4 | 【本文】: I LOVE this game!!!!!
【正解】: 4 | 【予測】: 4 (4.0698805) | OOV: 0/12 | 【本文】: I love this game so much I just wish they were free
【正解】: 1 | 【予測】: 4 (3.9428022) | OOV: 0/7 | 【本文】: Is hard to change to another program.
【正解】: 5 | 【予測】: 4 (3.9954534) | OOV: 0/5 | 【本文】: not sure what this is
【正解】: 4 | 【予測】: 4 (4.1800585) | OOV: 0/17 | 【本文】: This is a great game if you want to be challenge and you have fun with it
【正解】: 5 | 【予測】: 4 (4.120913) | OOV: 0/12 | 【本文】: It is a lot of fun and it helps me learn stuff
【正解】: 5 | 【予測】: 4 (4.0626674) | OOV: 0/20 | 【本文】: I have really enjoyed playing this game. I like the ability to time the games and play against the times.
【正解】: 1 | 【予測】: 4 (3.8888216) | OOV: 0/16 | 【本文】: These days will keep you step on a certain level so you can lose the competition
【正解】: 1 | 【予測】: 4 (3.890548) | OOV: 0/15 | 【本文】: ...no license or product key included, you will pay for an useless piece of paper...
【正解】: 5 | 【予測】: 4 (3.8411193) | OOV: 0/6 | 【本文】: Excellent, just for listen and relax...
【正解】: 5 | 【予測】: 4 (4.0152845) | OOV: 0/10 | 【本文】: I use this application every day and it is awesome.
【正解】: 4 | 【予測】: 4 (4.297474) | OOV: 0/7 | 【本文】: When bored something to play good game
【正解】: 4 | 【予測】: 4 (4.167256) | OOV: 0/5 | 【本文】: Fit and design were good.
【正解】: 5 | 【予測】: 4 (3.7186372) | OOV: 0/11 | 【本文】: I loved it so much I bought one of the packs!
【正解】: 5 | 【予測】: 4 (3.9673014) | OOV: 0/33 | 【本文】: I refuse to pay for any thing, so I was pleased that this game allowed me to be challenged but not defeated. The story adds just a little something to keep me interested.
【正解】: 5 | 【予測】: 4 (4.11485) | OOV: 0/22 | 【本文】: Good graphics, gets more challenging as you progress. Has not caused problems with my Kindle. Recommend it to all levels of players.
【正解】: 5 | 【予測】: 4 (4.023885) | OOV: 0/5 | 【本文】: Fun to play. Quick thinking
【正解】: 5 | 【予測】: 4 (4.189972) | OOV: 0/15 | 【本文】: I enjoy my fire TV thank you keep on doing great work for the people
【正解】: 5 | 【予測】: 4 (3.7071416) | OOV: 0/10 | 【本文】: Great game. Really cute. Love the characters and the puppy!
【正解】: 1 | 【予測】: 4 (4.0613384) | OOV: 0/8 | 【本文】: Ads and no easy way to turn off
【正解】: 1 | 【予測】: 4 (4.0613384) | OOV: 0/8 | 【本文】: Ads and no easy way to turn off
【正解】: 3 | 【予測】: 4 (4.0282393) | OOV: 0/35 | 【本文】: i give it a three how ever if streaming would get better and if better prime movies were added id give a five star netflix still has u beat but i still enjoy ur movies
【正解】: 5 | 【予測】: 4 (3.5809395) | OOV: 0/8 | 【本文】: Great app, does exactly what the app describes.
【正解】: 5 | 【予測】: 4 (3.7572415) | OOV: 0/6 | 【本文】: great product works on word documents
【正解】: 1 | 【予測】: 4 (3.9640636) | OOV: 0/11 | 【本文】: have to wait weeks to watch recent episodes of prime tv
【正解】: 4 | 【予測】: 4 (3.8899245) | OOV: 0/4 | 【本文】: Very good it wondering
【正解】: 1 | 【予測】: 4 (4.1757517) | OOV: 0/4 | 【本文】: junk, waste of time
【正解】: 2 | 【予測】: 4 (4.1684227) | OOV: 0/9 | 【本文】: Too many pop up ads so I removed it!!
【正解】: 5 | 【予測】: 4 (4.055713) | OOV: 0/24 | 【本文】: I love it its great I think it would be a great game for anybody for kids and adults when your board at home
【正解】: 1 | 【予測】: 4 (3.8164625) | OOV: 0/5 | 【本文】: Did not purchase this camera
【正解】: 5 | 【予測】: 4 (3.860691) | OOV: 0/10 | 【本文】: It will consume your time without noticing it. Its relaxing
【正解】: 5 | 【予測】: 4 (4.1757164) | OOV: 0/13 | 【本文】: A lot of fun, requires quick reaction and timing. I am enjoying it.
【正解】: 5 | 【予測】: 4 (3.9309657) | OOV: 0/23 | 【本文】: I really enjoy word games. The object of the game is to complete a word based on a clue. I liked the challenge.
【正解】: 5 | 【予測】: 4 (4.0476837) | OOV: 0/36 | 【本文】: I love cut the rope. One of the best games on android. After completing all the levels, I went back and made sure to get 3 star on all. Very nice and enjoyed it for hours.
【正解】: 1 | 【予測】: 4 (4.1542997) | OOV: 0/10 | 【本文】: the worst and nonsense news channel, focus on unwanted more
【正解】: 5 | 【予測】: 4 (4.0129175) | OOV: 0/7 | 【本文】: So much fun gets my brain working
【正解】: 5 | 【予測】: 4 (3.9497535) | OOV: 0/28 | 【本文】: My kids have spent hours playing this game (that could be good. That could be bad) and really have a lot of fun with it. Easy and entertaining.
【正解】: 1 | 【予測】: 4 (3.7325606) | OOV: 0/20 | 【本文】: A REALLY dumb game. A total waste of time. The enjoyment of playing it lasted all of 30 seconds flat.
【正解】: 5 | 【予測】: 4 (4.1787033) | OOV: 0/5 | 【本文】: Play it all the time.
【正解】: 1 | 【予測】: 4 (3.6291292) | OOV: 0/5 | 【本文】: will remove it asap crap.
【正解】: 5 | 【予測】: 4 (3.9093218) | OOV: 0/6 | 【本文】: Puzzles make the time go by.
【正解】: 5 | 【予測】: 4 (4.1787033) | OOV: 0/5 | 【本文】: play it all the time
【正解】: 4 | 【予測】: 4 (3.9780014) | OOV: 0/59 | 【本文】: This is a very good game in my opinion, however I think that the devs should allow support for ps4 users because when I may my controller it does not work correctly and I just start spinning around in circles. Otherwise you should totally get it. A lot of hard work has been put into this game I believe.
【正解】: 5 | 【予測】: 4 (4.090023) | OOV: 0/5 | 【本文】: Listen to it quite often.
【正解】: 5 | 【予測】: 4 (3.9109826) | OOV: 0/7 | 【本文】: I like watching Suits on this network.
【正解】: 5 | 【予測】: 4 (4.0145254) | OOV: 0/11 | 【本文】: Thought it was very easy to use and get a app
【正解】: 1 | 【予測】: 4 (4.1011133) | OOV: 0/29 | 【本文】: I was unable to access the app, like other reviews I had read, it asked for user name and password and the ones I normally use did not work.
【正解】: 3 | 【予測】: 4 (3.7931638) | OOV: 0/12 | 【本文】: Kind of boring. Not nearly as cool as the original MAC version.
【正解】: 2 | 【予測】: 4 (3.6190953) | OOV: 0/8 | 【本文】: Graphics are good but could not set alarm.
【正解】: 3 | 【予測】: 4 (4.0696692) | OOV: 0/8 | 【本文】: Effective, but how do you turn it off?
【正解】: 1 | 【予測】: 4 (3.9413006) | OOV: 0/5 | 【本文】: Could not get local news
【正解】: 5 | 【予測】: 4 (4.021222) | OOV: 0/10 | 【本文】: Is great game, the words you can come up with.
【正解】: 1 | 【予測】: 4 (3.9502616) | OOV: 0/7 | 【本文】: Took to long to load each hand..
【正解】: 5 | 【予測】: 4 (4.170968) | OOV: 0/4 | 【本文】: My son loves it
